"Store Name","Date Sold","Time Sold","Register # Sold At","Register Name Sold At","POS Department Code","Department Name","Sku","Modifier","Name","Normal Unit Retail Price","Actual Unit Price","Quantity Sold in Transaction","Promotion Amount","Promotion Reason","Discount Amount","Discount Reason","Final Products Amount for Transaction"
"McNab Food Store","AUG-29-2026","09:14","1","Register 1 (4139)","4","Tobacco","26100005738","0","Newport 100s","11.59","11.59","1",,,,,"11.59"
"McNab Food Store","AUG-29-2026","09:14","1","Register 1 (4139)","13","Scratch Off","798028216373","0","#1637 - $2 BIG BUCKS","2","2.00","1",,,,,"2"
"McNab Food Store","AUG-29-2026","09:21","1","Register 1 (4139)","13","Scratch Off","798028516305","0","#1630 - FORTUNE","10","10.00","1",,,,,"10"
"McNab Food Store","AUG-29-2026","09:21","1","Register 1 (4139)","13","Scratch Off","798028516305","0","#1630 - FORTUNE","10","10.00","1",,,,,"10"
"McNab Food Store","AUG-29-2026","09:25","1","Register 1 (4139)","13","Scratch Off","798028616234","0","#1623 - $20 200X THE CASH","20","20.00","1",,,,,"20"
"McNab Food Store","AUG-29-2026","09:26","1","Register 1 (4139)","8","Drinks","52000328684","0","Gatorade Thirst Quencher Lemon Lime 20 F","1.82","1.82","1",,,,,"1.82"
"McNab Food Store","AUG-29-2026","09:26","1","Register 1 (4139)","4","Tobacco","850730000296","0","Bob Marley Rolling Paper King Size","3.11","3.11","2",,,,,"6.22"
"McNab Food Store","AUG-29-2026","09:38","1","Register 1 (4139)","13","Scratch Off","798028216311","0","#1631 - Red White & Blue Cash","2","2.00","1",,,,,"2"
"McNab Food Store","AUG-29-2026","09:38","1","Register 1 (4139)","13","Scratch Off","798028116192","0","#1619 - $1 10X THE CASH","1","1.00","1",,,,,"1"
"McNab Food Store","AUG-29-2026","09:47","1","Register 1 (4139)","4","Tobacco","70137005292","0","Black & Mild Wine Wood Tip 5Pk","6.24","6.24","1",,,,,"6.24"
"McNab Food Store","AUG-29-2026","10:06","1","Register 1 (4139)","4","Tobacco","70137100188","0","Black & Mild OG Plastic 1ct","1.45","1.45","2",,,,,"2.9"
"McNab Food Store","AUG-29-2026","10:06","1","Register 1 (4139)","4","Tobacco","709215201850","0","305's Purple Short","5.35","5.35","1",,,,,"5.35"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","22","Candy","14200000692","0","Blow Pop","0.62","0.62","1",,,,,"0.62"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","9","Snacks","72600008861","0","Herr's Honey Bbq Potato Chips 1oz","0.85","0.85","2",,,,,"1.7"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","9","Snacks","72600005761","0","Herr's SCO Chips 1oz","0.85","0.85","1",,,,,"0.85"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","9","Snacks","72600005761","0","Herr's SCO Chips 1oz","0.85","0.85","1",,,,,"0.85"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","9","Snacks","28400090841","0","Funyuns:onion Flavored Rings 0.75 Oz","0.66","0.66","2",,,,,"1.32"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","9","Snacks","28400090858","0","Lays Classic Potato Chips 1oz","0.66","0.66","2",,,,,"1.32"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","9","Snacks","28400090179","0","Ruffles Cheddar & Sour Cream 1oz","0.66","0.66","2",,,,,"1.32"
"McNab Food Store","AUG-29-2026","10:12","1","Register 1 (4139)","19","Soda/Energy Beverages","49000001327","0","Sprite Lemon Lime 12 Fl Oz","1.75","1.75","2",,,,,"3.5"
"McNab Food Store","AUG-29-2026","10:14","1","Register 1 (4139)","4","Tobacco","28200003577","0","Marlboro Red Short","11.90","11.90","1",,,,,"11.9"
"McNab Food Store","AUG-29-2026","10:14","1","Register 1 (4139)","13","Scratch Off","798028416216","0","#1621 - $5 50x THE CASH","5.20","5.20","1",,,,,"5.2"
"McNab Food Store","AUG-29-2026","10:14","1","Register 1 (4139)","13","Scratch Off","798028416414","0","#1641 - Power 20X","5.21","5.21","1",,,,,"5.21"
"McNab Food Store","AUG-29-2026","10:19","1","Register 1 (4139)","4","Tobacco","858765005729","0","Show Cigarillos Og Koosh 5 Ct","1","1.00","1",,,,,"1"
"McNab Food Store","AUG-29-2026","10:20","1","Register 1 (4139)","4","Tobacco","858765005729","0","Show Cigarillos Og Koosh 5 Ct","1.04","1.04","1",,,,,"1.04"
"McNab Food Store","AUG-29-2026","10:21","1","Register 1 (4139)","13","Scratch Off","798028216373","0","#1637 - $2 BIG BUCKS","2","2.00","1",,,,,"2"
"McNab Food Store","AUG-29-2026","10:22","1","Register 1 (4139)","4","Tobacco","858765005729","0","Show Cigarillos Og Koosh 5 Ct","1","1.00","'-1",,,,,"'-1"
"McNab Food Store","AUG-29-2026","10:24","1","Register 1 (4139)","5","Alcohol","860010492420","0","TBD drinks 25mg","6.45","6.45","1",,,,,"6.45"
"McNab Food Store","AUG-29-2026","10:24","1","Register 1 (4139)","4","Tobacco","28200003843","0","Marlboro Gold Short","11.92","11.92","1",,,,,"11.92"
"McNab Food Store","AUG-29-2026","10:37","1","Register 1 (4139)","5","Alcohol","88004077310","0","Vodka Svedka 1.7 oz","1.19","1.19","3",,,,,"3.57"
"McNab Food Store","AUG-29-2026","10:37","1","Register 1 (4139)","8","Drinks","613008710194","0","Arizona Fruit Punch Gallon (128 Fl Oz)","4.68","4.68","1",,,,,"4.68"
"McNab Food Store","AUG-29-2026","10:37","1","Register 1 (4139)","5","Alcohol","613008720902","0","Crazy Stallion Classic Lager Can (24 Fl","1.61","1.61","1",,,,,"1.61"
"McNab Food Store","AUG-29-2026","10:37","1","Register 1 (4139)","8","Drinks","76737100788","0","Clear fruits","1.34","1.34","1",,,,,"1.34"
"McNab Food Store","AUG-29-2026","10:37","1","Register 1 (4139)","8","Drinks","613008778323","0","Arizona half n half Sweet tea 20oz","1.12","1.12","1",,,,,"1.12"
"McNab Food Store","AUG-29-2026","10:38","1","Register 1 (4139)","5","Alcohol","80660957654","0","Modelo Especial 12oz 6pk Btl","13.26","13.26","1",,,,,"13.26"
"McNab Food Store","AUG-29-2026","10:44","1","Register 1 (4139)","5","Alcohol","88004077310","0","Vodka Svedka 1.7 oz","1.19","1.19","2",,,,,"2.38"
"McNab Food Store","AUG-29-2026","10:50","1","Register 1 (4139)","4","Tobacco","70137832324","0","Black & Mild Wine $1.19","1.23","1.23","2",,,,,"2.46"
"McNab Food Store","AUG-29-2026","10:50","1","Register 1 (4139)","13","Scratch Off","798028116192","0","#1619 - $1 10X THE CASH","1.04","1.04","1",,,,,"1.04"
"McNab Food Store","AUG-29-2026","10:50","1","Register 1 (4139)","13","Scratch Off","798028316172","0","#1617 - $3 Bonus Box Bingo","3.12","3.12","1",,,,,"3.12"
"McNab Food Store","AUG-29-2026","10:50","1","Register 1 (4139)","13","Scratch Off","798028216205","0","#1620 - $2 20X THE CASH","2.09","2.09","1",,,,,"2.09"
"McNab Food Store","AUG-29-2026","10:58","1","Register 1 (4139)","13","Scratch Off","798028416339","0","#1633 - $1 million CASH STACKS","5.19","5.19","4",,,,,"20.76"
"McNab Food Store","AUG-29-2026","10:58","1","Register 1 (4139)","13","Scratch Off","798028415530","0","#1553 - 50 X The Cash","5.20","5.20","5",,,,,"26"
"McNab Food Store","AUG-29-2026","10:58","1","Register 1 (4139)","13","Scratch Off","798028416339","0","#1633 - $1 million CASH STACKS","5.20","5.20","6",,,,,"31.2"
"McNab Food Store","AUG-29-2026","11:16","1","Register 1 (4139)","4","Tobacco","71610203099","0","Backwoods Banana Pack Of 5","5.58","5.58","2",,,,,"11.16"
"McNab Food Store","AUG-29-2026","11:17","1","Register 1 (4139)","7","General Food","33200011309","0","Arm & Hammer Baking Soda 8 Oz","1.75","1.75","1",,,,,"1.75"
"McNab Food Store","AUG-29-2026","11:20","1","Register 1 (4139)","4","Tobacco","709215623652","0","DTC Menthol Gold 100`s","5.14","5.14","2",,,,,"10.28"
"McNab Food Store","AUG-29-2026","11:36","1","Register 1 (4139)","13","Scratch Off","798028116192","0","#1619 - $1 10X THE CASH","1","1.00","2",,,,,"2"
"McNab Food Store","AUG-29-2026","11:36","1","Register 1 (4139)","13","Scratch Off","798028116192","0","#1619 - $1 10X THE CASH","1","1.00","1",,,,,"1"
"McNab Food Store","AUG-29-2026","11:41","1","Register 1 (4139)","13","Scratch Off","798028416384","0","#1638 - $5 GIANT BUCKS","5","5.00","2",,,,,"10"
"McNab Food Store","AUG-29-2026","11:44","1","Register 1 (4139)","4","Tobacco","12300197410","0","Camel Crush Regular Fresh Box Fsc 1.00 P","12.12","12.12","1",,,,,"12.12"
"McNab Food Store","AUG-29-2026","11:48","1","Register 1 (4139)","4","Tobacco","26100005752","0","Newport Short","11.70","11.70","2",,,,,"23.4"
"McNab Food Store","AUG-29-2026","11:53","1","Register 1 (4139)","3","Grocery Non-taxable","193968075125","0","Plus Alkaline Water","3.12","3.12","1",,,,,"3.12"
"McNab Food Store","AUG-29-2026","12:01","1","Register 1 (4139)","13","Scratch Off","798028416414","0","#1641 - Power 20X","5","5.00","10",,,,,"50"
"McNab Food Store","AUG-29-2026","12:04","1","Register 1 (4139)","13","Scratch Off","798028516305","0","#1630 - FORTUNE","10.40","10.40","1",,,,,"10.4"
"McNab Food Store","AUG-29-2026","12:05","1","Register 1 (4139)","5","Alcohol","34100000219","0","Miller High Life 12oz Btl Sngl","1.59","1.59","1",,,,,"1.59"
"McNab Food Store","AUG-29-2026","12:05","1","Register 1 (4139)","9","Snacks","28400040112","0","Cheetos Crunchy:cheese Flavored Snacks 1","0.66","0.66","1",,,,,"0.66"
"McNab Food Store","AUG-29-2026","12:05","1","Register 1 (4139)","13","Scratch Off","798028316059","0","#1605 - $150,000 Crossword Bonus","3","3.00","1",,,,,"3"
"McNab Food Store","AUG-29-2026","12:05","1","Register 1 (4139)","13","Scratch Off","798028316165","0","#1616 - $3 Loteria","3","3.00","1",,,,,"3"
"McNab Food Store","AUG-29-2026","12:09","1","Register 1 (4139)","13","Scratch Off","798028216205","0","#1620 - $2 20X THE CASH","2","2.00","2",,,,,"4"
"McNab Food Store","AUG-29-2026","12:17","1","Register 1 (4139)","4","Tobacco","26100005738","0","Newport 100s","11.25","11.25","1",,,,,"11.25"
"McNab Food Store","AUG-29-2026","12:21","1","Register 1 (4139)","13","Scratch Off","798028916426","0","#1642 - $500K Cash Blitz","50","50.00","1",,,,,"50"
"McNab Food Store","AUG-29-2026","12:22","1","Register 1 (4139)","13","Scratch Off","798028416285","0","#1628 - $5 SILVER & GOLD CROSSWORD","5.20","5.20","1",,,,,"5.2"
"McNab Food Store","AUG-29-2026","12:23","1","Register 1 (4139)","4","Tobacco","71610203648","0","Berry 7","1.34","1.34","2",,,,,"2.68"
"McNab Food Store","AUG-29-2026","12:23","1","Register 1 (4139)","13","Scratch Off","798028916426","0","#1642 - $500K Cash Blitz","51.99","51.99","1",,,,,"51.99"
"McNab Food Store","AUG-29-2026","12:25","1","Register 1 (4139)","13","Scratch Off","798028416285","0","#1628 - $5 SILVER & GOLD CROSSWORD","5","5.00","1",,,,,"5"
"McNab Food Store","AUG-29-2026","12:26","1","Register 1 (4139)","4","Tobacco","750122786671","0","Dark Crush Jar","5.19","5.19","1",,,,,"5.19"
"McNab Food Store","AUG-29-2026","12:29","1","Register 1 (4139)","13","Scratch Off","798028616340","0","#1634 - MEGA 7's","20.79","20.79","1",,,,,"20.79"
"McNab Food Store","AUG-29-2026","12:29","1","Register 1 (4139)","13","Scratch Off","798028716088","0","#1608 - $15,000,000 Diamond Spectacular","31.20","31.20","1",,,,,"31.2"
"McNab Food Store","AUG-29-2026","12:32","1","Register 1 (4139)","13","Scratch Off","798028316165","0","#1616 - $3 Loteria","3","3.00","2",,,,,"6"
"McNab Food Store","AUG-29-2026","12:32","1","Register 1 (4139)","13","Scratch Off","798028316165","0","#1616 - $3 Loteria","3","3.00","1",,,,,"3"
"McNab Food Store","AUG-29-2026","12:36","1","Register 1 (4139)","5","Alcohol","18200001741","0","Rita Lime 16oz Can","2.38","2.38","1",,,,,"2.38"
"McNab Food Store","AUG-29-2026","12:38","1","Register 1 (4139)","13","Scratch Off","798028716088","0","#1608 - $15,000,000 Diamond Spectacular","31.20","31.20","1",,,,,"31.2"
"McNab Food Store","AUG-29-2026","12:38","1","Register 1 (4139)","13","Scratch Off","798028616340","0","#1634 - MEGA 7's","20.80","20.80","1",,,,,"20.8"
"McNab Food Store","AUG-29-2026","12:38","1","Register 1 (4139)","13","Scratch Off","798028916426","0","#1642 - $500K Cash Blitz","52.00","52.00","1",,,,,"52"
"McNab Food Store","AUG-29-2026","12:39","1","Register 1 (4139)","13","Scratch Off","798028216205","0","#1620 - $2 20X THE CASH","2","2.00","1",,,,,"2"
"McNab Food Store","AUG-29-2026","12:39","1","Register 1 (4139)","4","Tobacco","28200003614","0","Marlboro Menthol Short","12.73","12.73","1",,,,,"12.73"
"McNab Food Store","AUG-29-2026","12:40","1","Register 1 (4139)","13","Scratch Off","798028916426","0","#1642 - $500K Cash Blitz","50","50.00","1",,,,,"50"
"McNab Food Store","AUG-29-2026","12:40","1","Register 1 (4139)","13","Scratch Off","798028616340","0","#1634 - MEGA 7's","20","20.00","1",,,,,"20"
"McNab Food Store","AUG-29-2026","12:41","1","Register 1 (4139)","13","Scratch Off","798028216205","0","#1620 - $2 20X THE CASH","2","2.00","1",,,,,"2"
"McNab Food Store","AUG-29-2026","12:41","1","Register 1 (4139)","13","Scratch Off","798028616340","0","#1634 - MEGA 7's","20","20.00","1",,,,,"20"
"McNab Food Store","AUG-29-2026","12:42","1","Register 1 (4139)","13","Scratch Off","798028616401","0","#1640 - $20 MEGA BUCKS","20","20.00","1",,,,,"20"
"McNab Food Store","AUG-29-2026","12:43","1","Register 1 (4139)","13","Scratch Off","798028515827","0","#1582 - Ultimate Vip Cashword","10","10.00","1",,,,,"10"
"McNab Food Store","AUG-29-2026","12:43","1","Register 1 (4139)","4","Tobacco","709215374219","0","305`s Silver 100`s","5.14","5.14","2",,,,,"10.28"
"McNab Food Store","AUG-29-2026","12:44","1","Register 1 (4139)","8","Drinks","613008721756","0","AZ Iced Tea w/ Lemon Flavor Bot 34oz","2.07","2.07","1",,,,,"2.07"
"McNab Food Store","AUG-29-2026","12:48","1","Register 1 (4139)","13","Scratch Off","798028416384","0","#1638 - $5 GIANT BUCKS","5","5.00","2",,,,,"10"
"McNab Food Store","AUG-29-2026","12:48","1","Register 1 (4139)","5","Alcohol","34100000219","0","Miller High Life 12oz Btl Sngl","1.59","1.59","1",,,,,"1.59"
"McNab Food Store","AUG-29-2026","12:49","1","Register 1 (4139)","13","Scratch Off","798028416414","0","#1641 - Power 20X","5.20","5.20","1",,,,,"5.2"
"McNab Food Store","AUG-29-2026","12:49","1","Register 1 (4139)","13","Scratch Off","798028316165","0","#1616 - $3 Loteria","3.12","3.12","3",,,,,"9.36"
"McNab Food Store","AUG-29-2026","12:58","1","Register 1 (4139)","8","Drinks","52000324884","0","Gatorade Thirst Quencher","1.75","1.75","1",,,,,"1.75"
"McNab Food Store","AUG-29-2026","12:58","1","Register 1 (4139)","13","Scratch Off","798028515827","0","#1582 - Ultimate Vip Cashword","10","10.00","1",,,,,"10"
"McNab Food Store","AUG-29-2026","13:02","1","Register 1 (4139)","13","Scratch Off","798028616234","0","#1623 - $20 200X THE CASH","20","20.00","1",,,,,"20"
"McNab Food Store","AUG-29-2026","13:02","1","Register 1 (4139)","13","Scratch Off","798028216373","0","#1637 - $2 BIG BUCKS","2","2.00","1",,,,,"2"
"McNab Food Store","AUG-29-2026","13:03","1","Register 1 (4139)","13","Scratch Off","798028616234","0","#1623 - $20 200X THE CASH","20","20.00","2",,,,,"40"
"McNab Food Store","AUG-29-2026","13:04","1","Register 1 (4139)","13","Scratch Off","798028516015","0","#1601 - $5,000 A Week For Life","10","10.00","1",,,,,"10"
"McNab Food Store","AUG-29-2026","13:04","1","Register 1 (4139)","4","Tobacco","855906007024","0","Grabba Green Leaf Whole Leaf","5.84","5.84","2",,,,,"11.68"
"McNab Food Store","AUG-29-2026","13:06","1","Register 1 (4139)","13","Scratch Off","798028416384","0","#1638 - $5 GIANT BUCKS","5","5.00","1",,,,,"5"
"McNab Food Store","AUG-29-2026","13:08","1","Register 1 (4139)","13","Scratch Off","798028415271","0","#1527 - Gold Rush Doubler","5","5.00","1",,,,,"5"
